name,weightInGms,discountedSellInr,price_per_gram
"Popular Essentials Jowa Flour",500,49.00,0.10
"Stayfree Secure Dry Cover Extra Large Sanitary Pad",406,41.00,0.10
"Stayfree Secure XL Size Sanitary Napkins",1160,115.00,0.10
"Sunfeast Marie Light",200,20.00,0.10
"The Bake Shop Whole Wheat Bread",400,40.00,0.10
Amla,250,27.00,0.11
"Beans French",250,28.00,0.11
"Britannia Brown Bread ",400,42.00,0.11
Coccinia,250,27.00,0.11
"Jivana Jaggery",950,100.00,0.11
"MTR Seviyan Vermicelli ",400,42.00,0.11
"Popular Essentials Chana Dal (Un-Polished)",500,54.00,0.11
"Popular Essentials Pure Jaggery",450,49.00,0.11
"Popular Essentials Sabudana",500,54.00,0.11
"Praakritik Organic Natural Rock Salt",500,56.00,0.11
"Pril Bar Tub",500,55.00,0.11
"Safal Frozen - Mixed Vegetables",1000,105.00,0.11
"Safal Frozen Mixed Vegetables",500,57.00,0.11
"Shubh kart - Shubhkart Sambrani Cup Black 12n",696,75.00,0.11
"Tide Plus Extra Power Lemon & Mint Detergent Powder",2000,211.00,0.11
"Whisper Choice Ultra XL Sanitary Pad",1160,130.00,0.11
"Baby Corn Peeled",250,29.00,0.12
"Britannia Atta Kulcha",250,30.00,0.12
"Britannia Cheese Garlic Bread",300,35.00,0.12
"Britannia Good Day Butter Cookies",600,72.00,0.12
"Britannia Marie Gold Biscuits Packet",250,30.00,0.12
"Britannia Nutri Choice Cracker Sugar Free Biscuit",300,35.00,0.12
"Ching's Secret Green Chilli Sauce",680,81.00,0.12
"Del Monte Original Blend Tomato Ketchup Pouch",950,111.00,0.12
"Fortune Besan Flour",1000,120.00,0.12
"McVitie's Marie biscuits with Goodness of Calcium",250,30.00,0.12
"MTR Roasted Vermicelli ",850,105.00,0.12
"Popular Essentials Black Masoor Whole (Un-Polished)",500,58.00,0.12
"Rin Fabric Whitener Detergent",500,62.00,0.12
"Satyam Puffed Rice Kurmura (R)",200,23.00,0.12
"Sugarlite 50% Less Calories Sugar Pouch",500,59.00,0.12
"Surf Excel Stain Eraser",150,18.00,0.12
"The Bake Shop Bread Crumbs",400,47.00,0.12
"Zama Organics Sweet Potato",250,31.00,0.12
"Zucchini Green",250,29.00,0.12
"24 Mantra Organic Jowar Flour",500,65.00,0.13
"Britannia Marie Gold (Buy 4 Get 1 Free)",600,80.00,0.13
"Britannia Toastea Premium Bake Rusk",700,94.00,0.13
"Britannnia 50-50 Sweet & Salty Biscuit",200,25.00,0.13
"Godrej Protekt",750,99.00,0.13
"Godrej Protekt Germ Fighter Handwash",750,99.00,0.13
"Om Bhakti Gangajal Packed At Gangotri",220,29.00,0.13
"Patanjali Atta Doodh Rusk",300,40.00,0.13
"Popular Essentials Fried Gram (Bengal Gram)",500,63.00,0.13
"Popular Essentials Masoor Dal Split (Un-Polished)",500,63.00,0.13
"Popular Essentials Regular White Lobia",500,63.00,0.13
"Pumpkin Cut",200,25.00,0.13
"Puro Healthy Salt Crystal",1000,125.00,0.13
"Savlon Moisture Shield Germ Protection Handwash Refill (Buy 1 Get 1 Free)",1500,189.00,0.13
"Savlon Moisture Shield Hand Wash",750,95.00,0.13
"Super Saver Kolam Rice Sortex Clean ",5000,630.00,0.13
"Surf Excel Easy Wash Detergent Powder",1000,131.00,0.13
"Tata Sampann High Protien Chana Dal - Split",500,64.00,0.13
"Tata Sampann Kala Chana",500,64.00,0.13
"Tata Sampann Kala Chana",1000,125.00,0.13
"Tata Sampann Masoor Dal Stand",1000,134.00,0.13
"24 Mantra Bura Sugar (Demerara)",500,72.00,0.14
"24 Mantra Organic Jaggery Powder",500,68.00,0.14
"24 Mantra Organic Red Poha",500,69.00,0.14
"Arden Eggs White",696,97.00,0.14
"Baker Street Suji Rusk Large Pack",200,27.00,0.14
"Banana Elaichi ",348,49.00,0.14
"Beans Broad",250,35.00,0.14
"Britannia Bourbon Biscuit Buy 4 Get 1 Free",500,72.00,0.14
"Britannia Marie Gold Biscuit",200,28.00,0.14
"Britannia Milk Bikis Cream Biscuit",500,70.00,0.14
"Britannia Multigrain Bread ",400,55.00,0.14
