name,weightInGms,discountedSellInr,price_per_gram
"Britannia Goodday Chocochip Cookies",400,99.00,0.25
"Britannia Nutri Choice Digestive Biscuits Packet",100,25.00,0.25
"Britannia Treat Burst Choco Creme Fills",120,30.00,0.25
"Britannia Treat Jimjam Cream Biscuits ",100,25.00,0.25
"Ching's Schezwan Masala Instant Noodles",240,60.00,0.25
"Ching's Secret Green Chilli Sauce",425,105.00,0.25
"Ching's Secret Instant Noodles, Hot Garlic",240,60.00,0.25
"Ching's Secret Manchurian Noodles",360,91.00,0.25
"Ching's Singapore Curry Instant Noodles",240,60.00,0.25
"Chings Secret Manchurian Instant Noodle",240,60.00,0.25
"Comfort After Wash Fabric Conditioner Lily Fresh ",860,212.00,0.25
"Del Monte Eggless Mayo",500,126.00,0.25
"Del Monte Pizza & Pasta Sauce Spout Pack",400,99.00,0.25
"Eveready 1012 Carbon Zinc AAA Battery",580,143.00,0.25
"Eveready AA pack of 10 ",580,143.00,0.25
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",600,149.00,0.25
"Kapiva Thar Aloe Vera Juice",1000,254.00,0.25
"Mother's Recipe Bhel Puri Chutney",200,50.00,0.25
"Mother's Recipe Gujrati Gorkeri Pickle",500,126.00,0.25
"Mother's Recipe Tamarind Paste",200,49.00,0.25
"Mothers Recipe Tamrind Date Chutney ",200,50.00,0.25
"Popular Essentials Methi Seeds",100,25.00,0.25
"Popular Essentials Mustard Seeds Rai Yellow",100,25.00,0.25
"Saffola Gold (Jar)",5000,1240.00,0.25
"Saffola Soya Chunks Mealmaker",200,50.00,0.25
"Sunfeast Farmlite Nuts Digestive",250,62.00,0.25
"Surf Excel Matic Front Load Detergent Powder",2000,507.00,0.25
"Tata Sampann Unpolished Rajma (Chitra)",500,125.00,0.25
"Veeba Favourites Eggless Burger Mayonnaise",250,63.00,0.25
"Veeba Pizza Topping",280,70.00,0.25
"Yummiez Green Peas",1000,250.00,0.25
"Aashirvaad Breakfast Instant Mix - Rice Idli",200,52.00,0.26
"Aashirvaad Instant Mix - Rice Dosa",200,52.00,0.26
"Ariel Matic Front Load Detergent Powder",1000,260.00,0.26
"Britannia 50-50 Maska Chaska Biscuits",120,31.00,0.26
"D'lecta Dairy Cream",200,51.00,0.26
"Dabur Hommade - Ginger Garlic Past Tub",400,104.00,0.26
"Maggi Special Masala Spicy Yummy Noodles",280,72.00,0.26
"McCain Aloo Tikki",400,105.00,0.26
"Mother's Recipe Mixed Pickle",300,77.00,0.26
"Popular Essentials Tamarind",500,128.00,0.26
"Prasuma Vegetable Momos",580,150.00,0.26
"Pril Power Of Active Boosters",400,102.00,0.26
"Sweet Corn",116,30.00,0.26
"Switz Paratha Puff",400,105.00,0.26
"Top Ramen Masala Oat Masala",280,72.00,0.26
"Weikfield Vanilla Custard Powder",500,128.00,0.26
"24 Mantra Organic Green Moong Dal - Split",500,135.00,0.27
"Amul Mithai Mate Condensed Sweetened Milk",200,54.00,0.27
"Amul Mithai Mate EOE Tin",400,109.00,0.27
"Arden Desi Eggs",348,95.00,0.27
"Ariel Complete Detergent Washing Powder 500 g  + 200 g Free",500,135.00,0.27
"Cadbury Oreo Chocolatey Sandwich Biscuits Family Pack",300,80.00,0.27
"Dukes Sour & Cream Onion Nibbles Baked",150,41.00,0.27
"Godrej Real Good Chicken Lollypop",580,158.00,0.27
"Godrej Real Good Chicken Whole Pre-Cut",1000,270.00,0.27
"Kitchen Of India Ready-To-Eat Pindi Channa",285,77.00,0.27
"Kitchens of India Dal Bukhara Gravy Mix",285,77.00,0.27
"Kitchens of India Dal Makhani",285,77.00,0.27
"Kitchens Of India Rajma Masala",285,77.00,0.27
"Kitchens Of India Yellow Dal Tadka",285,77.00,0.27
"McCain French Fries",420,114.00,0.27
"McCain Smiles Cripsy Happy Potatoes",415,114.00,0.27
"Mother's Recipe Punjabi Teekha Mang Pickle",400,108.00,0.27
"Parle Monaco Jeffs Zeera Biscuit",200,54.00,0.27
"Parle Monaco Sixer Salted Biscuits ",200,54.00,0.27
"Praakritik Organic Yellow Moon Dal",500,135.00,0.27
"Yummiez Green Peas",500,135.00,0.27
"Ching's Red Chilli Sauce",200,55.00,0.28
"Fresh Chicken Curry Cut - Skinless (Halal)",500,140.00,0.28
"Gillette Presto Ready Shaver 5 Cartridges ",290,82.00,0.28
"Gits Pav Bhaji Ready to Eat",300,85.00,0.28
"Lijjat Udad Mini Papad",200,56.00,0.28
"McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets",420,118.00,0.28
"McCain Super Wedges",400,111.00,0.28
"McCain Veggie Fingers",400,111.00,0.28
"Mother's Recipe Mixed Pickle ",400,110.00,0.28
"Mother's Recipe Pickle - Mango",400,113.00,0.28
"MTR Upma",160,45.00,0.28
"Praakritik Organic Tuvar Dal",500,140.00,0.28
"Sumeru Aloo Paratha",400,113.00,0.28
"The Bake Shop Milk & Raisin Toast (Rusk)",200,56.00,0.28
"The Bake Shop Whole Wheat Multigrain Toast (Rusk)",200,56.00,0.28
"The Bake Shop Whole Wheat Toast (Rusk) ",200,56.00,0.28
"Veeba Eggless Mayonnaise",250,70.00,0.28
"24 Mantra Organic Rajma",500,145.00,0.29
"Bio Nutrients Pure Diet Tofu Gold ",200,57.00,0.29
"Britannia Good Day Choco Chip Cookies",100,29.00,0.29
"Britannia Pure Magic Vanilla Creme Biscuit",100,29.00,0.29
"Ching's Secret Chilli Vinegar",170,50.00,0.29
"Ching's Secret Sauce, Green Chilli",190,55.00,0.29
"Del Monte Green Chili Sauce",190,55.00,0.29
"Del Monte Natural Vinegar ",180,53.00,0.29
"Del Monte Red Chili Sauce",190,55.00,0.29
"Del Monte Schezwan Sauce",190,55.00,0.29
"Gits Rice Dosa Instant Breakfast Mix",200,57.00,0.29
"Godrej Cinthol Lime Refreshing Deo Soap",400,116.00,0.29
"Kitchens of India Mutter Paneer Mix",285,84.00,0.29
"Lifebuoy Germ Protection Care Soap Bar",100,29.00,0.29
"Lijjat Garlic Papad",200,57.00,0.29
"Lijjat Moong Papad",200,57.00,0.29
"Lijjat Urad Papad",200,57.00,0.29
"McCain Crazy Fries Masala MixHot 'n' Tangy",400,114.00,0.29
"McCain Herb & Garlic Crazy Fries Masala Mix ",400,114.00,0.29
"Mother's Recipe Lime Pickle ",400,114.00,0.29
"Parle Hide & Seek Cookies With Added Almonds",100,29.00,0.29
"RRO Til Dil Premium Til Oil Bottle",1000,294.00,0.29
"Santoor Almond Soft With Sandal & Almond Milk",625,180.00,0.29
"Sunfeast Yippee! Power Up Atta Noodles",280,81.00,0.29
"TGFC Tilapia Curry Cut",500,147.00,0.29
"Top Ramen Noodles, Atta",280,80.00,0.29
"Veeba Cheese and Chilli Sandwich Spread",275,79.00,0.29
"Weikfield Baking Soda",100,29.00,0.29
"Bauli Moonfills Pack of 4",180,54.00,0.30
"Borges Durum Wheat Pasta Superior Quality",500,149.00,0.30
"Britannia Tiger Krunch Biscuits",400,120.00,0.30
"Dabur Gulabari Rose Water Daily Glow",250,75.00,0.30
"Dukes Waffy Chocolate Wafer Rolls ",250,75.00,0.30
"Dukes Waffy Strawberry Roll",250,75.00,0.30
"Everest Turmeric Powder",200,60.00,0.30
"Kissan Pineapple Jam",500,149.00,0.30
"McCain Masala - Fries",375,114.00,0.30
"McCain Smiles - Pudina Chatka",375,114.00,0.30
"Mother's Recipe Mango Pickle ",400,120.00,0.30
"Orange Nagpur",232,69.00,0.30
"Santoor Total Skin Care Soap With Sandal & Turmeric",600,180.00,0.30
"Unibic Assorted Cookies ",450,137.00,0.30
"Veeba Carrot & Cucumber Sandwich Spread",250,76.00,0.30
"24 Mantra Mustard Oil (Cold Pressed) ",1000,312.00,0.31
"Dabur Hommade - Kalonji Tamatar Ki Chutney",200,61.00,0.31
"Dabur Hommade - Rajasthan Ki Garlic Chutne",200,61.00,0.31
"Everest Coriander Powder",100,31.00,0.31
"Fresh Chicken Whole Leg - Skinless (Halal)",500,157.00,0.31
"Godrej Real Good Chicken Marinated Lollipop ",580,180.00,0.31
"Kissan Mixed Fruit Jam ",500,155.00,0.31
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",1900,598.00,0.31
"Mccain Emotibites - Crispy Happy Potato Snack",415,129.00,0.31
"McCain Veggie Burger Patty",360,111.00,0.31
"MTR Uttapam Mix",500,156.00,0.31
"The Bake Shop Maska Khari",200,61.00,0.31
"The Bake Shop Methi Khari Simply Delicious",200,61.00,0.31
"The Bake Shop Whole Wheat Oats Khari",200,61.00,0.31
"Unibic Oatmeal Digestive Cookies ",150,47.00,0.31
"Veeba Salsa Dip",360,111.00,0.31
"Britannia Pure Magic Choco Lush Cookies",300,96.00,0.32
"Dr Oetker Cucumber & Carrot Sandwich Spread Veg",250,79.00,0.32
"Eastern Tamarind",200,63.00,0.32
"Everest Coriander Powder",200,63.00,0.32
"Godrej Real Good Chicken Curry Cut",500,158.00,0.32
"Kitchens Of India Palak Paneer",285,91.00,0.32
Lemon,200,63.00,0.32
"Lizol Double Concentrate Disinfectant Floor Cleaner Lavender",900,292.00,0.32
"Mother's Recipe Pickle - Red Stuffed Chilli",400,129.00,0.32
"Nestle Milkmaid",400,128.00,0.32
"Praakritik Organic Besan",500,159.00,0.32
"RRO Til Dil Premium Til Oil Bottle",500,162.00,0.32
"TilSona Til Oil",500,162.00,0.32
"Weikfield Baking Powder",100,32.00,0.32
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",1200,387.00,0.32
"Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish",1100,347.00,0.32
"Zorabian Chicken Breast Boneless ",450,145.00,0.32
"Dukes Nibbles - Ranch Crackers",150,50.00,0.33
"Hershey's Chocolate Flavour Syrup",623,205.00,0.33
"Kellogg's Original Corn Flakes",875,290.00,0.33
"Kelloggs Chocos - Moons & Stars",1200,396.00,0.33
"Orion Choco Pie - Chocolate Coated Soft Biscuit",336,112.00,0.33
"The Bake Shop Jeera Khari",200,65.00,0.33
"Zorabian Pre Cut Chicken Skinless (Half)",500,165.00,0.33
"24 Mantra Turmeric Powder",100,34.00,0.34
"Britannia Pure Magic - Chocolush",100,34.00,0.34
"Colgate Zig Zag Toothbrush",348,120.00,0.34
"Gits Khaman Dhokla Instant Snack Mix",180,61.00,0.34
"Godrej Real Good Chicken Liver Sealed ",200,68.00,0.34
"Kapiva Wild Tulsi Giloy Juice |",1000,340.00,0.34
"Kelloggs Corn Flakes",250,86.00,0.34
"Lizol Double Concentrate Disinfectant Floor Cleaner Citrus",900,308.00,0.34
"Patanjali Kesh Kanti Natural Hair Cleanser",200,68.00,0.34
"Praakritik Organic Basmati Rice",500,170.00,0.34
"Praakritik Organic Jumbo Rolled Oats",500,169.00,0.34
"Saffola Everyday Peppy Tomato Masala Oats",500,171.00,0.34
"Saffola Veggie Twist Masala Oats",500,171.00,0.34
"Whiskas Adult Pocket Tuna Cat Food",1200,410.00,0.34
"24 Mantra Sunflower Oil (Cold Pressed) Pet Bottle",1000,347.00,0.35
"Britannia Good Day Chunky Cookies",120,42.50,0.35
"Chakaachak Power Scrub (Pack of 2)",116,41.00,0.35
"Dabur Chyawanprash Immunity Booster",500,177.00,0.35
"Dabur Hajmola Imli Digestive Tablets",120,42.00,0.35
"Dabur Hajmola Pudina - Digestive Tablets",120,42.00,0.35
"Dabur Regular Hajmola",120,42.00,0.35
"Durex Extra Dots Condoms",580,205.00,0.35
"Durex Extra Thin Condoms",580,205.00,0.35
"Durex Extra Time Condoms",580,205.00,0.35
"Eastern Super Garam Masala",200,69.00,0.35
"Fiama Fresh Hand Wash",400,140.00,0.35
"Hajmola Anardana Digestive Tablets",120,42.00,0.35
"Kiwi Dranex Drain Cleaner",348,122.00,0.35
"Masala Oats Masala & Coriander ",500,176.00,0.35
"MTR Instant Gulab Jamun Mix",500,176.00,0.35
"Robin Dazzling Liquid Blue After Wash",200,70.00,0.35
"Savlon Moisture Shield Hand Wash",200,69.00,0.35
"So Good Almond Milk - Natural Unsweetened",200,70.00,0.35
"Tata Tea Gold",100,35.00,0.35
"Veeba Sweet Onion Sauce",350,121.00,0.35
"Amul Cheese Sauce Mexican Salsa",200,72.00,0.36
"Dabur Chyawanprash",950,338.00,0.36
"Kellogg's Chocos Combo Pack",156,56.00,0.36
"Mothers Recipe Papad Chana Masala",200,71.00,0.36
"Palmolive Black Orchid And Milk Liquid Hand Wash",250,89.00,0.36
"Palmolive Naturals Sea Minerals Liquid Hand Wash",250,89.00,0.36
"Pantai Coconut Cream",400,143.00,0.36
"Pillsbury Vanilla Custard Powder",100,36.00,0.36
"Revive Revive Liquid",200,71.00,0.36
"Sunfeast Farmlite Oats & Almonds Biscuits Packet",150,54.00,0.36
"TGFC Rohu Bengali Cut",500,179.00,0.36
"24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle",1000,369.00,0.37
"Amul Frozen Malai Paneer",200,73.00,0.37
"Amul Malai Paneer Fresh ",200,73.00,0.37
"Amulya Dairy Whitener ",1000,372.00,0.37
"Gits Veg Biryani Ready to Eat",265,99.00,0.37
"Hershey's Caramel Syrup",623,230.00,0.37
"Kellogg's Original Corn Flakes",475,175.00,0.37
"Kellogg’s Chocos Protein And Fibre Of 1 Roti",1200,444.00,0.37
"MTR Dal Fry",300,110.00,0.37
"MTR Dal Makhani",300,110.00,0.37
"MTR Ready to Eat Pav Bhaji",300,110.00,0.37
"Parachute Oil ",100,37.00,0.37
"Shubh kart - Nirmal 5 in 1 Agarbatti Zipper - 150g",150,56.00,0.37
"TGFC Chicken Curry Cut Fresh",500,186.00,0.37
"Weikfield Vanilla Flavoured Custard Powder",100,37.00,0.37
"24 Mantra Super Grain Quinoa",500,190.00,0.38
"Amul Cheese Sauce Jalapeno",200,75.00,0.38
"Britannia Nutrichoice 5 Grain Digestive Biscuits",200,75.00,0.38
"Chakaachak Sponge Scrubber (Pack of 2)",116,44.00,0.38
"Durex Air Ultra Thin Condom",580,220.00,0.38
"Durex Extra Ribbed Condoms",580,220.00,0.38
"Fiama Menthol & Magnolia Cooling Gel Bar Soap",375,141.00,0.38
"Kellogg's Chocos",700,269.00,0.38
"Kellogg's Corn Flakes",1000,383.00,0.38
"McVitie's Oat Cookies",120,45.00,0.38
"Pantai Coconut Milk",400,150.00,0.38
"Patanjali Pure Honey",250,95.00,0.38
"Pineapple Slice",200,75.00,0.38
"Popular Essentials Jeera/Cumin Seeds",100,38.00,0.38
"Popular Essentials White Til",100,38.00,0.38
"Wingreens Cheesy Chipotle Sauce",130,50.00,0.38
"Woodward's Gripe Water",200,75.00,0.38
"Woodwards Gripe Water ",130,50.00,0.38
"Amul Lite Spread",100,39.00,0.39
"Amul Spray Infant Milk Food",500,193.00,0.39
"Dabur 100% Pure Honey - Worlds No.1",1000,387.00,0.39
"Dabur Gulabari Premium Rose Water",120,47.00,0.39
"Funfoods Peanut Butter Crunchy",400,156.00,0.39
"Hamam Soap Bar Neem Tulsi and Aloe Vera",150,58.00,0.39
"Kellogg's Special K Original Corn Flakes",900,355.00,0.39
"Kitchens Of India Mughlai Paneer",285,112.00,0.39
"Lotte Choco Pie ",336,131.00,0.39
Orange,116,45.00,0.39
"Parachute Jasmine Hair Oil",190,74.00,0.39
"Popular Essentials Guntur Chilli Stemless",100,39.00,0.39
"Popular Essentials Nylon Til",100,39.00,0.39
"Bagrrys Corn Flakes",880,350.00,0.40
"Borges Canola Oil Pet Bottle",1000,399.00,0.40
"Cadbury Chocobakes Choc Filled Cookies",150,60.00,0.40
"Dabur - Chyawanprash",250,99.00,0.40
"Dettol Intense Cool Soap (B4G1)",625,247.00,0.40
"Dettol Original Soap (B4G1)",625,247.00,0.40
"Dettol Skincare Liquid Hand Wash",200,79.00,0.40
"Figaro Pitted Black Olive ",450,179.00,0.40
"Figaro Plain Green Olive ",450,179.00,0.40
"Figaro Sliced Black Olive ",450,179.00,0.40
"Mr Muscle Dranex Drain Cleaner Kiwi",375,149.00,0.40
"MTR Ready To Eat Palak Paneer ",300,120.00,0.40
"MTR Vada Breakfast",500,200.00,0.40
"Nupur Heena Mehandi",500,199.00,0.40
"Prabhat Malai Paneer Pouch",200,80.00,0.40
"Amul Cheese - Pepper",200,82.00,0.41
"Amul Cheese Spread Spicy Garlic",200,82.00,0.41
"Dabur Honey ",500,204.00,0.41
"Fresh Chicken Boneless Cubes (Halal)",500,204.00,0.41
"Fresh Chicken Mince - Kheema (Halal)",500,204.00,0.41
"Gowardhan Classic Block Fresh Paneer",200,81.00,0.41
"Kelloggs Corn Flakes With Real Strawberry Pure",575,236.00,0.41
"MTR Ready To Eat Paneer Butter Masala",300,122.00,0.41
"Origami Paper Party Plates",580,240.00,0.41
"Parachute 100% Pure Coconut Oil",300,123.00,0.41
"Parle Hide & Seek Choco Rolls",120,49.00,0.41
"TGFC Catla Bengali Cut",500,204.00,0.41
"Betty Crocker Complete Pancake Mix Original",250,105.00,0.42
"Britannia Nutri Choice Ragi Cookies",150,63.00,0.42
"Cadbury Oreo Dipped Biscuit",150,63.00,0.42
"Dettol Original Germ Protection Bathing Soap Bar",375,157.00,0.42
"Everest Tikhalal Chilli Powder",500,212.00,0.42
"Fiama Di Wills Lemongrass & Jojoba Gel Bar",375,158.00,0.42
"Fiama Gel Bar Celebration Pack Buy 4 Get 1 Free",625,261.00,0.42
"Fiama Peach & Avocado Gel Bar",375,158.00,0.42
"Funfoods Peanut Butter Creamy",400,169.00,0.42
"Kellogg's Real Honey Corn Flakes",630,267.00,0.42
"Kelloggs Chocos",385,160.00,0.42
"Mortein Cockroach Killer Spray, Crawling insect killer with Deep-Reach Nozzle",425,179.00,0.42
"Mortein Dual All Insect Killer Spray",600,252.00,0.42
"MTR Paneer Butter Masala & Veg Pulao",375,158.00,0.42
"MTR Vermicelli Payasam",180,75.00,0.42
"Oral-B Extra Soft Bristles Sensitive ",232,98.00,0.42
"Sunfeast Dark Fantasy Choco Fills Cookies Packet",300,127.00,0.42
"Sunfeast Yumfills Whoopie Pie",253,105.00,0.42
"Veeba Barbeque Sauce",330,137.00,0.42
"Amul Cheese Spread Yummy Plain",200,85.00,0.43
"Colgate Zig Zag Charcoal Medium Toothbrush 4 Pcs",232,99.00,0.43
"Colgate Zigzag Charcoal Soft Bristle Toothbrush - 4 Pcs",232,99.00,0.43
"Dabur Chyawanprakash - Sugar Free",900,385.00,0.43
"Dettol Original Liquid Handwash",200,85.00,0.43
"Gits Medu Vada Instant Snack Mix",200,86.00,0.43
"Kelloggs Chocos Moon & Stars",680,294.00,0.43
"Lotte Choco Pie ",168,72.00,0.43
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Medium",232,99.00,0.43
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Soft",232,99.00,0.43
"Patanjali Kesh Kanti Aloe Vera Hair Cleanser",200,85.00,0.43
"Patanjali Kesh Kanti Reetha Hair Cleanser",200,85.00,0.43
"Popular Essentials Dessicated Coconut",200,86.00,0.43
"Veeba Sriracha Chilli Garlic Sauce",320,137.00,0.43
"Amul Cheese Spread Creamy",180,80.00,0.44
"Hershey's Chocolate Milk Booster",450,200.00,0.44
"Hersheys Chocolate Almond Syrup",450,200.00,0.44
"Hit Flower Lime Fragrance Insect Killer Spray",400,176.00,0.44
"Kelloggs Special K",435,192.00,0.44
"Kitchens Of India Mutter Paneer",285,124.00,0.44
"Popular Essentials Ajwain Whole",100,44.00,0.44
"Popular Essentials Saunf/Fennel Seeds",100,44.00,0.44
"Saffola 100% Pure Honey",1000,437.00,0.44
"TGFC Chicken Boneless Fresh Whole",500,222.00,0.44
"Dabur Chyawanprakash Sugar Free",500,223.00,0.45
"Dettol Clinical Strength Hand Sanitizer Liquid",500,225.00,0.45
"Gits Gulab Jamun Instant Dessert Mix",200,89.00,0.45
"Mother's Recipe Madras Appalam",100,45.00,0.45
"Praakritik Organic Singhara Atta",500,225.00,0.45
"Amul Safed Makkhan",500,232.00,0.46
"Dettol Effective Protection Antiseptic Liquid",250,116.00,0.46
"Everest Tikhalal Hot & Red Chilly Powder",100,46.00,0.46
"Kellogg's Crunchy Bites Chocos",375,171.00,0.46
"Kellogg's Special K Original Corn Flakes",290,133.00,0.46
"The Whole Truth Peanut Butter - Unsweetened & Crunchy",325,148.00,0.46
"Veeba Thousand Island Dressing",300,137.00,0.46
"Colgate Gentle Sensitive+ Toothbrush Pack Of 4",232,108.00,0.47
"Colgate Herbal Toothpaste",200,93.00,0.47
"Durex Air Ultra Thin Condoms",174,82.00,0.47
"Eastern Fish Masala",100,47.00,0.47
"Fevicol Mr.Original General Purpose White Glue ",105,49.00,0.47
"Go Cheese  Spread Plain",200,94.00,0.47
"Go Cheese Spread - Four Pepper (Soft & Creamy)",200,94.00,0.47
"Go Cheese Spread - Garlic",200,94.00,0.47
"Himalaya Anti-Hair Fall Shampoo",400,188.00,0.47
"Himalaya Baby Powder",400,188.00,0.47
"Kellogg's Chocos",250,117.00,0.47
"Popular Essentials Black Til",100,47.00,0.47
"Popular Essentials Dry Dates (Kharak)",250,118.00,0.47
"Vanish All in One Powder Detergent Booster",400,189.00,0.47
"Zorabian Chicken Legs Skinless",450,210.00,0.47
"Amul Butter - Pasteurised",500,240.00,0.48
"Amul Cheese - Block",500,240.00,0.48
"Amul Cheese Slices",750,359.00,0.48
"Amul Unsalted Cooking Butter",500,238.00,0.48
"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot",300,144.00,0.48
"Colgate Max Fresh Plax Mouthwash - Fresh Mint",250,120.00,0.48
"Colgate Plax Peppermint Mouthwash",250,120.00,0.48
"Dabur Honey - World's No.1",250,120.00,0.48
"Dettol Hand Sanitizer",200,95.00,0.48
"Eastern Cumin Powder",100,48.00,0.48
"Godrej Real Good Chicken Drumstick ",500,239.00,0.48
"Hershey's Chocolate Syrup",200,95.00,0.48
"Hershey's Syrup Delicious Strawberry",200,95.00,0.48
"ITC Master Chef Cheesy Corn Triangles",320,152.00,0.48
"ITC Master Chef Veggie Pizza Pocket",340,162.00,0.48
"Kellogg's All Bran Wheat Flakes",425,205.00,0.48
"Lotte Choco Pie Cocoa Pie",168,81.00,0.48
"Patanjali Kesh Kanti Shikakai Hair Cleanser",200,95.00,0.48
"Amul Butter - Pasteurised",100,49.00,0.49
"Dabur Amla Hair Oil",180,88.00,0.49
"Godrej Real Good Marinated Hot & Grill Chicken",450,221.00,0.49
"Hit Cockroach Killer Spray ",200,98.00,0.49
"Kitchens Of India Chicken Chettinad",285,140.00,0.49
"Kitchens Of India Chicken Darbari ",285,140.00,0.49
"Mangaldeep Rose Puja Agarbatti ",120,59.00,0.49
"McCain New Mini Samosa with Cheese Corn Style Filling",240,118.00,0.49
"McCain New Mini Samosa with Cheese Pizza Style Filling",240,118.00,0.49
"Parachute Advansed Gold Coconut Hair Oil",400,194.00,0.49
"Pomegranate Peeled",100,49.00,0.49
"Popular Essentials Chia Seeds",100,49.00,0.49
"TGFC Basa Fillets",500,247.00,0.49
"Amul Pizza Cheese - Mozzarella",200,99.00,0.50
"Amul Pure Ghee (Pouch)",500,249.00,0.50
"Amul Pure Ghee (Pouch)",1000,499.00,0.50
"Borges Durum Wheat Fusilli Pasta ",500,250.00,0.50
"Borges Farfalle Durum Wheat Pasta ",500,250.00,0.50
"Dabur Meswak Toothpaste",200,100.00,0.50
"Dettol Liquid Handwash With Free Liquid",200,99.00,0.50
"Epigamia Greek Yogurt - Natural",400,200.00,0.50
"Gillette Sensitive Shaving Foam",418,210.00,0.50
"Godrej Nupur Henna",150,75.00,0.50
"iD Natural Paneer",200,99.00,0.50
"Karachi Bakery Cashew Biscuits ",400,199.00,0.50
"Kellogg's Real Almond & Honey Corn Flakes",650,324.00,0.50
"Kelloggs Chocos Fills Double Chocolat",175,88.00,0.50
"Listerine Fresh Burst Mouthwash",250,126.00,0.50
"Lux International Creamy White Soap Bar",125,63.00,0.50
"McCain Chilli Cheesy Nuggets",250,124.00,0.50
"McCain Potato Cheese Shotz",250,124.00,0.50
"Origami So Soft Tissue Roll 3 Ply",696,347.00,0.50
"Parle Hide & Seek Choco Rolls",120,60.00,0.50
"Pears Pure And Gentle Value Pack Of 3 Bathing Soap",375,186.00,0.50
"Smith & Jones Pasta Masala",108,54.00,0.50
"Veeba Chipolte Southwest Dressing",300,149.00,0.50
"Amul Ghee (Tin)",1000,509.00,0.51
"Amul Processed Cheese Cubes",200,101.00,0.51
"Apple Kinnaur",232,119.00,0.51
"Apple Shimla",232,119.00,0.51
"Colgate Max Fresh Peppermint Toothpaste ",300,154.00,0.51
"Godrej Real Good Chicken Kheema",450,230.00,0.51
"Guava Thai",116,59.00,0.51
"Kellogg's Muesli Nuts Delight",750,383.00,0.51
"Popular Essentials Sabja/Basil Seeds",100,51.00,0.51
"Satyam Khobra",200,101.00,0.51
"Scotch-Brite Scrub Sponge Ideal For Dishwash Liquid",116,59.00,0.51
"Amul Pizza Cheese Processed",200,104.00,0.52
"Cantina Beans Mexican Beans",410,213.00,0.52
"Chik Hairfall Prevent Egg Shampoo",340,178.00,0.52
"Gowardhan Cow Ghee Pouch",1000,521.00,0.52
"Himalaya Anti Hair Fall Shampoo",700,367.00,0.52
"Kellogg's Real Almond & Honey Corn Flakes",1000,520.00,0.52
"Pillsbury Oven Cake Mix - Rich Chocolate",285,147.00,0.52
"Satyam Nighties Spices  Chilli Pandi",100,52.00,0.52
"Veeba Mint Mayonnaise",300,155.00,0.52
"Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened",400,206.00,0.52
"Amul Processed Cheese Block",200,106.00,0.53
"Betty Crocker French Vanilla Cake Mix",520,276.00,0.53
"Colgate Slim Soft Charcoal Toothbrush",232,123.00,0.53
"Dettol Antiseptic Disinfectant Liquid",125,66.00,0.53
"Durex Mutual Climax Condoms",580,306.00,0.53
"Godrej Aer Spray Fresh Lush Green",240,126.00,0.53
"Himalaya Anti Dandruff Shampoo",400,213.00,0.53
"Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli",750,401.00,0.53
"Kellogg's Real Almond & Honey Corn Flakes",300,158.00,0.53
"Listerine Fresh Burst Mouthwash",500,263.00,0.53
"Nestle Everyday Dairy Whitener",400,210.00,0.53
"The Whole Truth Peanut Butter - Sweetened & Crunchy",325,172.00,0.53
"Zorabian Chicken Breast Boneless",250,133.00,0.53
"Ching's Secret Chowmein Hakka Noodles Masala",100,54.00,0.54
"Closeup Everfresh+ Anti-Germ Gel Toothpaste Red Hot",150,81.00,0.54
"Eveready Ultima Alkaline AA Cell Battery-6 Pc Pack",348,189.00,0.54
"Gillette Pre Shave Foam - Classic Regular Skin",418,225.00,0.54
"ITC Master Chef Lebanese Falafel Kebab",230,124.00,0.54
"Kitchens Of India Murgh Methi",285,154.00,0.54
"Listerine Cool Mint Mouthwash - Mild Taste",250,135.00,0.54
"Listerine Original Mouthwash",250,135.00,0.54
"Pillsbury Pancake Mix - Funfetti",162,88.00,0.54
"Popular Essentials Black Raisins Seedless",100,54.00,0.54
"President Butter - Salted",100,54.00,0.54
"The Whole Truth Dark Chocolate Peanut Butter - Creamy",325,174.00,0.54
"Veeba Peri Peri Sauce",300,161.00,0.54
"Zorabian Chicken Cubes",500,270.00,0.54
"Ceres Foods Fish Mustard Instant Liquid Masala",200,110.00,0.55
"Ceres Foods Laal Maas Instant Liquid Masala",200,110.00,0.55
"Ceres Foods Nalli Nihari Instant Liquid Masala",200,110.00,0.55
"Dabur Meswak Toothpaste",100,55.00,0.55
"Godrej Cinthol Lime Talc",100,55.00,0.55
"Godrej Real Good Chicken Boneless Cubes ",450,248.00,0.55
"Godrej Real Good Chicken Breast Boneless",450,248.00,0.55
"Godrej Real Good Chicken Leg Boneless",450,248.00,0.55
"Patanjali Kesh Kanti Anti Dandruff Hair Cleanser",200,110.00,0.55
