name,weightInGms,weight_category
"Amul Cheese - Processed Slices",200,Low
"iD Curd Cup",400,Low
"The Bake Shop Premium White Sandwich Bread",400,Low
"Britannia Multigrain Bread ",400,Low
"Amul Processed Cheese Block",200,Low
"Nestle A+ Nourish Dahi",400,Low
"Epigamia Misti Doi",85,Low
"Amul Cheese - Block",500,Low
"Amul Butter - Pasteurised (School Pack)",100,Low
"Britannia Brown Bread ",400,Low
"Epigamia Natural Greek Yogurt",90,Low
"The Bake Shop Pizza Base",150,Low
"Amul Delicious Fat Spread - Cholesterol Free",100,Low
"Nestle A+ Actiplus Probiotic Dahi Plain Curd",400,Low
"Bio Nutrients Pure Diet Tofu Gold ",200,Low
"Amul Delicious Fat Spread - Cholesterol Free",500,Low
"Amul Cheese - Pepper",200,Low
"Amul Cheese Spread Creamy",180,Low
"The Bake Shop Foot Long",200,Low
"Amul Cheese Slices",750,Low
"Suguna Sharp Egg ",348,Low
"Amul Cheese Sauce Mexican Salsa",200,Low
"Amul Pizza Cheese Processed",200,Low
"Amul Lite Spread",100,Low
"Go Cheese Slice - Plain",200,Low
"RRO Sour Cream",200,Low
"D'lecta Natural Feta Cheese Block",100,Low
"Suguna Active - DHA",348,Low
"Go Cheese Processed Angles Plain",160,Low
"Epigamia Greek Yogurt - Natural",400,Low
"Amul Unsalted Cooking Butter",500,Low
"The Whole Truth Dark Chocolate Peanut Butter - Creamy",325,Low
"The Laughing Cow Cheese Slices",200,Low
"Epigamia Almond Milk Unsweetened Dairy Free",1000,Medium
"Go Cheese  Spread Plain",200,Low
"So Good Almond Milk - Natural Unsweetened",200,Low
"Amul Cheese Sauce Jalapeno",200,Low
"D'lecta Cream Cheese",150,Low
"Dlecta Natural Cheddar Slices",200,Low
"Suguna Heart- Omega3",348,Low
"Go Cheese Spread - Garlic",200,Low
"Go Pizza Cheese",200,Low
"RRO Cheddar Block Cheese",200,Low
"The Whole Truth Peanut Butter With Dates - Creamy No Sugar",325,Low
"Suguna Fit Egg",348,Low
"RRO Fresh Ricotta",200,Low
"Dlecta Cheese Cubes 2",200,Low
"RRO Mozzarella Pizza Cheese",200,Low
"The Laughing Cow Cheese Cubes",200,Low
"Yogabar 100% Pure Peanut Butter Creamy & Yummy Unsweetened",400,Low
"RRO Burrata Cheese",200,Low
"The Whole Truth Dark Chocolate Peanut Butter - Crunchy",325,Low
"Go Cheese Processed Squares",200,Low
"Funfoods Peanut Butter Crunchy",400,Low
"Amul Safed Makkhan",500,Low
"Go Cheese Spread - Four Pepper (Soft & Creamy)",200,Low
"Laughing Cow Cheese 8 Portion 120Gm Imported",120,Low
"The Whole Truth Peanut Butter - Sweetened & Crunchy",325,Low
"Go Processed Cheese Block",200,Low
"Go Cheese Processed Block",400,Low
"RRO Goat Milk Fetta Cheee",100,Low
"RRO Mascarpone Cheese",200,Low
"D'lecta Cheddar Cheese",200,Low
"Funfoods Peanut Butter Creamy",400,Low
"Dlecta Cheese Block",200,Low
"President Butter - Salted",100,Low
"The Laughing Cow Plain Processed Cheese Block",200,Low
"Yoga Bar Peanut Butter Dark Chocolate Jar",400,Low
"The Laughing Cow Cheese Spread Plain",180,Low
"Amul Malai Paneer Fresh ",200,Low
"Amul Taaza Toned Homogenised Milk",1000,Medium
"Amul Lactose Free Milk",250,Low
"The Bake Shop Whole Wheat Bread",400,Low
"Amul Slim Trim Skimmed Milk",1000,Medium
"Amul Cheese Slices",100,Low
"Amul Pizza Cheese - Mozzarella",200,Low
"The Bake Shop Pizza Base Whole Wheat",150,Low
"Nestle A+ Slim Dahi - Low Fat",400,Low
"Britannia Cheese Garlic Bread",300,Low
"The Bake Shop Whole Wheat Ladi Pav",200,Low
"Amul Cheese Spread Yummy Plain",200,Low
"Britannia Atta Kulcha",250,Low
"Suguna Nourish Egg",696,Low
"The Bake Shop Multi Grain Bread",400,Low
"Nestle A+ Slim Milk",1000,Medium
"Go Cheese Pizza Blend Mozzarella + Cheddar",200,Low
"The Whole Truth Peanut Butter - Unsweetened & Crunchy",325,Low
"Amul Cheese Spread Spicy Garlic",200,Low
"The Bake Shop Burger Buns",100,Low
"D'lecta Shredded Mozzarella Cheese",140,Low
"Britannia Burger Bun with Sesame Seed",200,Low
"Suguna Vitamin D Egg",348,Low
"Pillsbury Pancake Mix - Funfetti",162,Low
"Prabhat Malai Paneer Pouch",200,Low
"Suguna Nourish Egg ",348,Low
"RRO Mozzarella Block Cheese",200,Low
"iD Malabar Parota ",400,Low
"iD Wheat Lachha Paratha",400,Low
"McCain Aloo Tikki",400,Low
"McCain Smiles Cripsy Happy Potatoes",415,Low
"McCain Veggie Burger Patty",360,Low
"McCain Veggie Fingers",400,Low
"Whiskas Wet  Meal (Adult - Cat Food)  Chicken in Gravy",85,Low
"McCain Chilli Garlic Potato Bites Crunchy Potato Nuggets",420,Low
"Veeba Eggless Mayonnaise",250,Low
"Veeba Pasta And Pizza Sauce",280,Low
"Unibic Almond & Oats Protein Bar",30,Low
"McCain French Fries",420,Low
"Ching's Secret Manchow Instant Soup",15,Low
"McCain Potato Cheese Shotz",250,Low
"McCain Masala - Fries",375,Low
"Ching's Secret Schezwan Fried Rice Masala",20,Low
"McCain Chilli Cheesy Nuggets",250,Low
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",1200,Medium
"Chings Instant Soup - Hot & Sour",15,Low
"Amul Spray Infant Milk Food",500,Low
"McCain Smiles - Pudina Chatka",375,Low
"McCain French Fries Crisp & Delicious",750,Low
"Ferrero Nutella Hazelnut Spread",180,Low
"Lijjat Garlic Papad",200,Low
"Switz Samosa Dough Sheets",50,Low
"Maggi Imli Sauce Pichkoo",90,Low
"Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish",1100,Medium
"Chings Instant Soup - Sweet Corn Veg",15,Low
"Whiskas Wet  Meal (Kitten - Cat Food)  Chicken in Gravy",85,Low
"McCain Crazy Fries Masala MixHot 'n' Tangy",400,Low
"The Whole Truth Double Cocoa Protein Bar No Sugar",52,Low
"Amul Happy Treats French Fries",425,Low
"Ferrero Nutella Hazeulnut Spread",350,Low
"Veeba Chipolte Southwest Dressing",300,Low
"Ching's Secret Manchow Noodles Instant Soup",20,Low
"Yoga Bar Breakfast Protein Bar - Blueberry Pie",50,Low
"The Whole Truth Mini Protein Bar - Coconut Cocoa No Added Sugar",27,Low
"Switz Spring Roll Dough Sheets",1160,Medium
"Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar",30,Low
"Ching's Secret Tomato Instant Soup",16,Low
"Kellogg's Crunchy Fruit & Nut Breakfast Cereals Muesli",750,Low
"Ching's Secret Chilli Vinegar",170,Low
"Ching's Red Chilli Sauce",200,Low
"The Whole Truth Cranberry Mini Protein Bar No Sugar",27,Low
"The Whole Truth Mini Protein Bar - Coffee Cocoa No Added Sugar",27,Low
"Maggi Hot & Sweet Tomato Chilli Sauce",500,Low
"Sunfeast YiPPee! Noodles - Magic Masala",540,Low
"Veeba Cheese and Chilli Sandwich Spread",275,Low
"The Whole Truth Peanut Cocoa Mini Protein Bar No Sugar ",27,Low
"Gits Pav Bhaji Ready to Eat",300,Low
"Lijjat Udad Mini Papad",200,Low
"McCain Herb & Garlic Crazy Fries Masala Mix ",400,Low
"Yoga Bar Multigrain Energy Bar Nuts And Seeds",38,Low
"Ching's Secret Sauce, Green Chilli",190,Low
"Veeba Pizza Topping",280,Low
"Switz Paratha Puff",400,Low
"New Kellogg's Muesli with 21% Fruit, Nut & Seeds",500,Low
"The Whole Truth Double Cocoa Mini Protein Bar No Sugar",27,Low
"Sunfeast Yippee Tricolor Pasta Seasoning",65,Low
"Wingreens Cheesy Chipotle Sauce",130,Low
"Maggi Rich Tomato Ketchup",500,Low
"Kellogg's Real Almond & Honey Corn Flakes",300,Low
"The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar",40,Low
"Prasuma Vegetable Momos",24,Low
"MTR Upma",160,Low
"The Whole Truth Cranberry Protein Bar No Sugar",52,Low
"Veeba English Mustard",300,Low
"Yoga Bar Breakfast Muesli - Almond Caramel (No Added Sugar)",400,Low
"The Whole Truth Mini Protein Bar - Peanut Butter No Added Sugar",27,Low
"ITC Master Chef Crispy Chicken Fries ",280,Low
"Kelloggs Corn Flakes",250,Low
"Smith & Jones White Pasta Sauce Mix",46,Low
"Mothers Recipe Tamrind Date Chutney ",200,Low
"Veeba Mint Mayonnaise",300,Low
"Mccain Emotibites - Crispy Happy Potato Snack",415,Low
"The Whole Truth Energy Bar Choco Cranberry Fudge",40,Low
"Godrej Yummiez Chicken Lucknowi Seekh Kebab",400,Low
"Prasuma Vegetable Momos",580,Low
"Mother's Recipe Mixed Pickle",300,Low
"The Whole Truth Peanut Cocoa Protein Bar No Sugar",52,Low
"Yoga Bar Breakfast Muesli - Chocolate & Cranberry ",400,Low
"Veeba Sweet Onion Sauce",350,Low
"Yogabar No Added Sugar Protein Bar Brownie",60,Low
"Bambino Popular Vermicelli ",400,Low
"Ching's Secret Mix Veg Instant Soup",15,Low
"Mother's Recipe Pickle - Red Stuffed Chilli",400,Low
"Kellogg's No Added Sugar Muesli",500,Low
"Veeba Salsa Dip",360,Low
"Veeba Thousand Island Dressing",300,Low
"Baggry's Crunchy Muesli Almond Raisins & Honey",200,Low
"Knorr Chinese Hot And Sour Veg Soup",43,Low
"Kissan Pineapple Jam",500,Low
"Smith & Jones Masala Noodles",480,Low
"Nestle Nestle Nan Pro Follow-Up Formula",400,Low
"McCain Super Wedges",400,Low
"Kellogg's Crunchy Granola Honey, Almonds, Strawberries & Pumpkin Seeds",450,Low
"Kellogg's Chocos",250,Low
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle",150,Low
"The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar",40,Low
"ITC Master Chef Classic Aloo Tikki",320,Low
"Smith & Jones Pink Pasta Sauce Mix",46,Low
"Wingreens Farms Chipotle Dip",180,Low
"Kellogg's Real Almond & Honey Corn Flakes",1000,Medium
"Kellogg's Crunchy Granola Chocolate & Almonds",450,Low
"Cornitos Cornitos Taco Shells - 6 Inches",180,Low
"Ching's Secret Singapore Curry Instant Noodles",60,Low
"Mother's Recipe Pickle - Mango",400,Low
"Pedigree Dentastix  Dog Treat Oral Care for Adult Medium Breed ",180,Low
"Maggi Hot & Sweet - Tomato Chilli Sauce",1000,Medium
"Ching's Secret Asian Hot Instant Soup",15,Low
"Kellogg’s Chocos Protein And Fibre Of 1 Roti",1200,Medium
"Mother's Recipe Pickle - Mango",500,Low
"Chings Secret Manchurian Instant Noodle",240,Low
"Kellogg's Original Corn Flakes",875,Low
"Kellogg's Almonds And Cranberries Granola",460,Low
"Nestle Ceregrow Multigrain Cereal with Milk and Fruits - 3 to 6 years",300,Low
"MTR 3 Minute Breakfast - Magic Masala Upma",60,Low
"Smith & Jones Masala Noodles",360,Low
"Knorr Classic Tomato Soup With 100% Real Vegetabls, No Added Preservatives",53,Low
"Kellogg's Corn Flakes",1000,Medium
"Kelloggs Chocos",385,Low
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",1200,Medium
"Ching's Secret Lemon Coriander Instant Soup",15,Low
"Nestle Cerelac Baby Cereal With Milk Wheat-Rice Mixed Fruit",300,Low
"Kelloggs Chocos - Moons & Stars",1200,Medium
"ITC Master Chef Chicken Galouti Kebab",210,Low
"Kitchens Of India Palak Paneer",285,Low
"Kelloggs Chocos Fills Double Chocolat",175,Low
"Soulfull Ragi Bites Choco Fills",250,Low
"Figaro Sliced Black Olive ",450,Low
"Veeba Barbeque Sauce",330,Low
"The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar",40,Low
"The Whole Truth - Nuts, Fruits & Seeds Muesli",350,Low
"Pantai Green Curry Paste",114,Low
"Kelloggs Special K",435,Low
"Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip",175,Low
"Mother's Recipe Madras Appalam",100,Low
"Top Ramen Masala Oat Masala",280,Low
"Kitchens Of India Chicken Chettinad",285,Low
"Nestle Cerelac Wheat - Stage 1",300,Low
"Sumeru Aloo Paratha",400,Low
"ITC Master Chef Veggie Pizza Pocket",340,Low
"Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip",70,Low
"Ching's Secret Manchow Soup",55,Low
"Veeba Carrot & Cucumber Sandwich Spread",250,Low
"Kellogg's Real Almond & Honey Corn Flakes",650,Low
"Kitchens Of India Mughlai Paneer",285,Low
"Ching's Secret Just Soak - Veg Hakka Noodles",150,Low
"Ching's Secret Chowmein Hakka Noodles Masala",100,Low
"Mother's Recipe Bhel Puri Chutney",200,Low
"Kelloggs Chocos Moon & Stars",680,Low
"Mother's Recipe Lime Pickle ",400,Low
"Kitchens of India Dal Makhani",285,Low
"Pantai Light Soy Sauce",200,Low
"Ching's Secret Sweet Corn Soup",55,Low
"Cantina Tortilla Dip Sauce Sour Creamy Tex Mex",190,Low
"Dabur Hommade - Rajasthan Ki Garlic Chutne",200,Low
"MTR Seviyan Vermicelli ",400,Low
"Pantai Oyster Sauce",200,Low
"MTR Ready To Eat Paneer Butter Masala",300,Low
"Nestle Lactogen Stage 2 Follow-up Formula Powder",400,Low
"Kellogg's Crunchy Bites Chocos",375,Low
"Veeba Hot Sweet Tomato Chilli Sauce",500,Low
"Pantai Red Curry Paste",50,Low
"ITC Master Chef Chicken Seekh Kabab",500,Low
"Del Monte Pizza & Pasta Sauce Spout Pack",400,Low
"Pantai Sriracha Red Chilli Sauce",200,Low
"Hershey's Cocoa Spread",350,Low
"Maggi Ghee Tadka Upma Express Pouch",65,Low
"Ching's Secret Manchurian Noodles",360,Low
"Kellogg's All Bran Wheat Flakes",425,Low
"Yummiez Chicken Breakfast Sausages",250,Low
"Pantai Red Curry Paste",114,Low
"Bagrrys Muesli Crunchy Fruit & Nut With Cranberries",400,Low
"Prasuma Momos -  Cheesy Spicy Veg",24,Low
"Veeba Sriracha Chilli Garlic Sauce",320,Low
"Ching's Secret Just Soak - Veg Hakka Noodles",600,Low
"Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip",175,Low
"Figaro Plain Green Olive ",450,Low
"Mother's Recipe Gujrati Gorkeri Pickle",500,Low
"Kellogg's Muesli 20% Nuts Delight",500,Low
"Kellogg's Chocos",700,Low
"Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ",400,Low
"Veeba Truly Tomato Ketchup",500,Low
"Ching's Secret Green Chilli Sauce",680,Low
"MTR Roasted Vermicelli ",400,Low
"Mother's Recipe Punjabi Teekha Mang Pickle",400,Low
"Ching's Secret Hot Garlic Instant Noodles",480,Low
"Kellogg's Real Honey Corn Flakes",630,Low
"ITC Master Chef Lebanese Falafel Kebab",230,Low
"Kelloggs Chocos Fills Double Chocolaty",250,Low
"Organic India Apple Cider Vinegar",500,Low
"Ching's Secret  Noodles - Pad Thai Lemongras",130,Low
"Bagrrys Fruit and Nut Muesli with Cranberries",750,Low
"Kitchens Of India Yellow Dal Tadka",285,Low
"Soulfull Vanilla Fills - Ragi Bites",250,Low
"Pantai Teriyaki Sauce with Garlic",200,Low
"Whiskas Adult Pocket Tuna Cat Food",1200,Medium
"Kitchens Of India Chicken Darbari ",285,Low
"Soulfull Millet Muesli Fruit & Nut Almonds & Real Fruits",400,Low
"Smith & Jones Red Pasta Sauce Mix",46,Low
"Kellogg's Muesli Nuts Delight",750,Low
"Remia Mayonnaise",241,Low
"Ching's Secret Green Chilli Sauce",425,Low
"Bagrrys Fruit N Fibre Muesli - Strawberry",1000,Medium
"Ching's Secret Tomato Oats Instant Soup",20,Low
"Kellogg's Special K Original Corn Flakes",290,Low
"Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade",175,Low
"Tong Garden Wasabi Green Peas",150,Low
"Ching's Secret Red Chilli Sauce",440,Low
"Ching's Instant Hot and Sour Soup",55,Low
"Ching's Secret Noodles - Pad Thai Original",130,Low
"Aashirvaad Instant Meals - Khatta Meetha Pohaa With Millets",80,Low
"Del Monte Black Sliced Olives",450,Low
"Kitchens Of India Murgh Methi",285,Low
"Nestle Cerelac 5 Grains & Fruits Cereal",300,Low
"The Whole Truth - 5 Grain Muesli No Added Sugar",350,Low
"Ching's Secret  Pad Thai Noodles Green Curry",130,Low
"Aashirvaad Suji Halwa With Jaggery",70,Low
"Mother's Recipe Mango Pickle ",400,Low
"Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli",130,Low
"Kellogg's Special K Original Corn Flakes",900,Low
"Knorr Sweet Corn Chicken Soup",42,Low
"Ching's Secret Tomato Soup",55,Low
"Kelloggs Muesli - With 22% Fruit Magic",500,Low
"Dabur Hommade - Kalonji Tamatar Ki Chutney",200,Low
"Aashirvaad Suji Halwa With Jaggery",80,Low
"Del Monte Green Chili Sauce",190,Low
"Pedigree Dog Food Adult Chicken & Veg",3000,Medium
"Kellogg's Original Corn Flakes",475,Low
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",3000,Medium
"Kitchens Of India Rajma Masala",285,Low
"Kitchen Of India Ready-To-Eat Pindi Channa",285,Low
"Figaro Pitted Black Olive ",450,Low
"Cantina Tabasco Red Sauce",60,Low
"Mother's Recipe Pickle - Mixed",500,Low
"Nestle Cerelac Baby Cereal with Milk 5 Grains & Vegetables from 18 to 24 Month",300,Low
"Pedigree Meat Jerky Adult Dog Treat Barbecued Chicken",80,Low
"Veeba Peri Peri Sauce",300,Low
"Pantai Sriracha Yellow Chilli Sauce",200,Low
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles",600,Low
"Pantai Spring Roll Sauce",200,Low
"MTR Vermicelli Payasam",180,Low
"Bagrrys Corn Flakes",880,Low
"MTR Ready To Eat Palak Paneer ",300,Low
"Del Monte Red Chili Sauce",190,Low
"Pantai Green Curry Paste",50,Low
"MTR Dal Fry",300,Low
"Pantai Fish Sauce",200,Low
"Ching's Secret Manchurian Instant Noodle",480,Low
"Remia Salad Italian Dressing ",250,Low
"Yummiez Veg Cheese Fingers Pouch",400,Low
"MTR Dal Makhani",300,Low
"MTR Ready to Eat Pav Bhaji",300,Low
"Nestlé CERELAC Baby Cereal with Milk",300,Low
"Remia Salad Caesar Dressing",250,Low
"Bagrrys Fruit N Fibre Muesli Mixed Fruit",500,Low
"MTR Paneer Butter Masala & Veg Pulao",375,Low
"Sundrop Cocoa Nut Hazelnut Chocolatey Spread",160,Low
"Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip",175,Low
"Pedigree Dog Food Adult Meat & Rice",3000,Medium
"Pantai Sriracha Green Chilli Sauce",200,Low
"Pantai Chilli Garlic Sauce",200,Low
"Pantai Dark Soy Sauce",200,Low
"Cantina Tabasco Green Sauce",60,Low
"Pantai Pad Thai Sauce (Non-Veg)",200,Low
"Pantai Sweet Chilli Sauce",200,Low
"Ching's Secret Schezwan Instant Noodle",480,Low
"Pediasure Premium Chocolate Powdered Health Drink",400,Low
"Chings Secret Hot Garlic Instant Noodles",60,Low
"Godrej Yummiez Cheese Corn Nuggets ",400,Low
"Pantai Hot Chilli Sauce",200,Low
"Knorr International Mexican Tomato Corn Soup ",52,Low
"Bagrry's Fruit Fibre Muesli Mixed Fruit ",1000,Medium
"MTR Roasted Vermicelli ",850,Low
"Kurkure Green Chutney, Rajasthani Style",90,Low
"Kellogg's Chocos Combo Pack",156,Low
"Kissan Mixed Fruit Jam ",500,Low
"Lijjat Urad Papad",200,Low
"Mother's Recipe Ginger And Garlic Paste",200,Low
"Maggi Magic Cubes Chicken",40,Low
"Pedigree Puppy Chicken Chunks in Gravy ",70,Low
"Lijjat Moong Papad",200,Low
"Mothers Recipe Papad - Sabudana With Rock Salt",70,Low
"Veeba Favourites Eggless Burger Mayonnaise",250,Low
"Kelloggs Corn Flakes With Real Strawberry Pure",575,Low
"Mother's Recipe Potato Papad",70,Low
"Mothers Recipe Rice Papad Ajwain",75,Low
"Dabur Hommade - Imli Sauce Saunth",100,Low
"MTR Vegetable Upma",60,Low
"Del Monte Original Blend Tomato Ketchup Pouch",950,Low
"Del Monte Natural Vinegar ",180,Low
"Del Monte Eggless Mayo",500,Low
"ITC Master Chef Cheesy Corn Triangles",320,Low
"Mother's Recipe Mixed Pickle ",400,Low
"Hershey's Cocoa + Almond Spread",350,Low
"Del Monte Schezwan Sauce",190,Low
"Yummiez Green Peas",500,Low
"Yummiez Green Peas",1000,Medium
"Yummiez American Sweet Corn",400,Low
"Dr Oetker Cucumber & Carrot Sandwich Spread Veg",250,Low
"Del Monte Pitted Green Olives",450,Low
"Godrej Real Good Chicken Whole Pre-Cut",1000,Medium
"Zorabian Chicken Breast Boneless",250,Low
"Godrej Real Good Chicken Curry Cut",500,Low
"TGFC Chicken Curry Cut Fresh",500,Low
"Godrej Real Good Chicken Breast Boneless",450,Low
"Fresh Chicken Boneless Cubes (Halal)",500,Low
"Godrej Real Good Chicken Kheema",450,Low
"TGFC Bombay Duck Whole Cleaned",500,Low
"Zorabian Pre Cut Chicken Skinless (Half)",500,Low
"Godrej Real Good Chicken Drumstick ",500,Low
"Godrej Real Good Chicken Marinated Lollipop ",580,Low
"Fresh Chicken Whole Leg - Skinless (Halal)",500,Low
"TGFC Tilapia Curry Cut",500,Low
"Godrej Real Good Marinated Hot & Grill Chicken",450,Low
"TGFC Chicken Boneless Fresh Whole",500,Low
"TGFC Catla Bengali Cut",500,Low
"Godrej Real Good Chicken Leg Boneless",450,Low
"TGFC Rohu Bengali Cut",500,Low
"Godrej Real Good Chicken Lollypop",580,Low
"Godrej Real Good Chicken Liver Sealed ",200,Low
"Fresh Mutton Mince - Kheema (Halal)",500,Low
"Fresh Mutton Curry Cut Cubes (Halal)",500,Low
"Godrej Real Good Chicken Legs ",116,Low
"TGFC Basa Fillets",500,Low
"Zorabian Chicken Legs Skinless",450,Low
"Fresh Chicken Curry Cut - Skinless (Halal)",500,Low
"Zorabian Chicken Breast Boneless ",450,Low
"Fresh Chicken Mince - Kheema (Halal)",500,Low
"Godrej Real Good Chicken Boneless Cubes ",450,Low
"Zorabian Chicken Mince",450,Low
"Zorabian Chicken Leg Boneless ",450,Low
"Zorabian Chicken Cubes",500,Low
"Britannia Good Day Cashew Cookies",60,Low
"Britannia 50-50 Maska Chaska Biscuits",120,Low
"Dukes Waffy Chocolate Wafers",60,Low
"Britannia Nutri Choice Digestive Biscuit",200,Low
"Britannia Goodday Chocochip Cookies",400,Low
"Britannia Good Day Pista Badam",200,Low
"Cadbury Chocobakes Chocolate Filled Cookies ",75,Low
"Dukes Waffy Strawberry Roll",250,Low
"Parle Monaco Classic Salty Biscuits",400,Low
"Dukes Waffy Orange Wafers",60,Low
"Britannia Good Day Pista Badam",100,Low
"Britannia Milk Bikis Biscuits Packet",200,Low
"Britannia Toastea (Premium Bake Rusk)",400,Low
"Dukes Waffy Strawberry Wafers",60,Low
"Britannia Toastea Premium Bake Rusk",182,Low
"Lotte Choco Pie ",168,Low
"Bauli Moonfils Choco Veg Puff Roll",45,Low
"Sunfeast Dark Fantasy Choco Fills Cookies Packet",300,Low
"Britannia 50-50 Maska Chaska Biscuit",300,Low
"Britannnia 50-50 Sweet & Salty Biscuit",200,Low
"Britannia Good Day Chunky Cookies",120,Low
"Sunfeast Marie Light",200,Low
"Britannia Bourbon Biscuit Buy 4 Get 1 Free",500,Low
"The Bake Shop Whole Wheat Oats Khari",200,Low
"Britannia Nutri Choice Oats Milk Almond Biscuit",75,Low
"Sunfeast Dark Fantasy Choco Creme",300,Low
"Lotte Choco Pie Chocolate Cake",56,Low
"Sunfeast Mom's Magic Cashew & Almond Cookies Packet",200,Low
"Unibic SugarFree - Oatmeal Cookies",75,Low
"Parle Hide & Seek Cookies With Added Almonds",100,Low
"Unibic Fruit & Nut Cookies",67,Low
"Sunfeast Yumfills Whoopie Pie",253,Low
"Britannia Toastea Premium Bake Rusk",700,Low
"McVitie's Marie biscuits with Goodness of Calcium",250,Low
"Britannia Treat Croissant Vanilla Creme Roll",47,Low
"Unibic Honey Oatmeal Cookies",75,Low
"Britannia Good Day Choco Chip Cookies",100,Low
"The Bake Shop Masala Cheese Crackers",100,Low
"Britannia Pure Magic Vanilla Creme Biscuit",100,Low
"Open Secret Assorted Story Box",75,Low
"Cadbury Oreo Dipped Biscuit",150,Low
"Sunfeast Farmlite Oats & Almonds Biscuits Packet",150,Low
"Unibic SugarFree - Butter Cookies",75,Low
"Britannia Good Day Cashew Cookies Packet",600,Low
"Dukes Sour & Cream Onion Nibbles Baked",150,Low
"Parle Hide & Seek Choco Rolls",120,Low
"Britannia Treat Creme Wafers - Vanilla",60,Low
"Parle Rusk Elaichi",300,Low
"Lotte Choco Pie ",336,Low
"Sunfeast Mom's Magic Cashew & Almond Biscuits",600,Low
"Unibic Cashew Cookies",75,Low
"Parle Monaco Jeffs Zeera Biscuit",200,Low
"Unibic Snack Bar - Multigrain, Choco",30,Low
"The Bake Shop Methi Khari Simply Delicious",200,Low
"Britannia Treat Jimjam Family Pack (Buy 4 Get 1 Free)",500,Low
"Open Secret Choco Almond Tiffin Pack",25,Low
"Lotte Choco Pie ",696,Low
"Baker Street Suji Rusk Large Pack",200,Low
"Parle Hide & Seek Choco Rolls",75,Low
"Sunfeast Dark Fantasy Vanilla Creme",300,Low
"Britannia Treat Burst Choco Creme Fills",120,Low
"Parle Milano Mixed Berries Cookies",75,Low
"Karachi Bakery Cashew Biscuits ",400,Low
"Britannia Pure Magic Choco Lush Cookies",300,Low
"Britannia Treart Creme Wafers Chocolate",60,Low
"Unibic Daily Digestive (Multigrain Cookies)",75,Low
"Cadbury Chocobakes Choc Filled Cookies",150,Low
"The Bake Shop Whole Wheat Multigrain Toast (Rusk)",200,Low
"Unibic Choco Kiss Cookies",75,Low
"Britannia Treat Creme Wafers - Orange",60,Low
"Bauli Moonfills Pack of 4",180,Low
"Unibic Oatmeal Digestive Cookies ",150,Low
"Orion Choco Pie - Chocolate Coated Soft Biscuit",336,Low
"Britannia Good Day Cashew Cookies Pack Of 6",120,Low
"Parle Fab Bourbon",150,Low
"Open Secret White Choco Tiffin Pack",25,Low
"The Bake Shop Whole Wheat Bread Sticks",100,Low
"Unibic Assorted Cookies ",450,Low
"The Bake Shop Milk & Raisin Toast (Rusk)",200,Low
"Lotte Choco Pie Cocoa Pie",168,Low
"Bauli Moonfils Veg - Strawberry",45,Low
"The Bake Shop Masala Lavash",100,Low
"Britannia Good Day Nut Cookies",120,Low
"Sunfeast Mom's Magic Rich Butter Cookies",200,Low
"The Bake Shop Whole Wheat Toast (Rusk) ",200,Low
"Open Secret Peanut Butter Story Box",75,Low
"Open Secret White Choco Story Box",75,Low
"The Bake Shop Whole Wheat Multigrain Lavash",100,Low
"McVitie's Oat Cookies",120,Low
"Britannia Tiger Krunch Biscuits",400,Low
"McVitie's Butter Cookies",200,Low
"Bauli Moonfils Strawberry",45,Low
"Britannia Good Day Butter Cookies",600,Low
"The Bake Shop Jeera Ajwain Bread Sticks",100,Low
"Parle Fab!o Vanilla Creme Sandwich Biscuit",120,Low
"Sunfeast Farmlite Nuts Digestive",250,Low
"Britannia Pure Magic - Chocolush",100,Low
"The Bake Shop Maska & Multigrain Cheese Crackers",100,Low
"Britannia Nutri Choice Ragi Cookies",150,Low
"Sunfeast Farmlite 5 Seed Digestive",250,Low
"Dukes Nibbles - Ranch Crackers",150,Low
"Danish Butter Cookies",400,Low
"The Bake Shop Sesame Seed Crackers",100,Low
"Good Day Butter Cookies",75,Low
"Britannia Marie Gold Biscuits Packet",250,Low
"Britannia Good Day Cashew Cookies",100,Low
"Sunfeast Dark Fantasy Choco Fills",75,Low
"Britannia Nutri Choice Digestive Biscuits Packet",100,Low
"Britannia Classic Little Hearts ",75,Low
"Britannia Good Day Cashew Cookies Packet",200,Low
