name,weightInGms,weight_category
"Happilo Premium International Queen Kalmi Dates",200,Low
"Tata Sampann Unpolished Urad Whole",500,Low
"Popular Essentials Cashew Split",250,Low
"Popular Essentials Chana Dal (Un-Polished)",500,Low
"Tata Sampann Unpolished Rajma (Chitra)",500,Low
"Everest Garam Masala",50,Low
"Everest Kitchen King Masala",100,Low
"24 Mantra Organic Cumin",100,Low
"Nestle Milkmaid",400,Low
"Popular Essentials Sona Masouri Steam Rice",1000,Medium
"24 Mantra Organic Tur Dal",1000,Medium
"Gits Gulab Jamun Instant Dessert Mix",200,Low
"Popular Essentials Black Masoor Whole (Un-Polished)",500,Low
"24 Mantra Organic Peanuts",500,Low
"Everest Hingraj Powder",50,Low
"Everest Black Pepper Powder",100,Low
"Tata Sampann Masoor Dal Stand",1000,Medium
"24 Mantra Organic Besan",500,Low
"Quaker Oats",1000,Medium
"Saffola Gold Refined Cooking Oil (Jar)",2000,Medium
"Nestle Everyday Dairy Whitener",400,Low
"24 Mantra Organic Red Poha",500,Low
"Everest Powder - Tea Masala",100,Low
"Tata Sampann Urad Dal Split",500,Low
"Popular Essentials Idli Sooji ",500,Low
"Popular Essentials Dessicated Coconut",200,Low
"Sunfeast Yippee! Mood Masala Noodles",260,Low
"Chef's Basket Durum Wheat Elbow Pasta",500,Low
"MTR Breakfast Khatta Meetha Poha Mix",60,Low
"Satyam Khobra",200,Low
"Betty Crocker Complete Pancake Mix Original",250,Low
"Borges Durum Wheat Fusilli Pasta ",500,Low
"24 Mantra Organic Green Moong Dal - Split",500,Low
"Weikfield Vanilla Flavoured Custard Powder",100,Low
"Tata Sampann Moong Dal Split",1000,Medium
"Tata Sampann Kala Chana",500,Low
"Saffola Soya Chunks Mealmaker",200,Low
"24 Mantra Bura Sugar (Demerara)",500,Low
"Popular Essentials Green Cardamom (Elaichi)",50,Low
"Hershey's Syrup Delicious Strawberry",200,Low
"Popular Essentials Anjeer",100,Low
"Popular Essentials Mustard Seeds Rai Small",100,Low
"Weikfield Baking Powder",100,Low
"Dabur Honey Squeezy",225,Low
"Tata Sampann High Protein Kali Urad",500,Low
"Everest Kitchen King Masala",50,Low
"Chef's Basket Durum Wheat Fusilli Pasta",500,Low
"TilSona Til Oil",500,Low
"Top Ramen Chicken Noodles",280,Low
"Everest Chaat Masala",50,Low
"Keya Wonder Red Hot Chilli Flakes",40,Low
"Popular Essentials White Peas (Un-Polished)",500,Low
"Ching’s Secret Chowmein Hakka Noodles Masala ",60,Low
"Dhara Filtered Groundnut Oil (Jar)",5000,Bulk
"Pillsbury Choco Chip Pancake Mix",165,Low
"Hershey's Caramel Syrup",623,Low
"Pillsbury Multi Grain Atta",1000,Medium
"McCain New Mini Samosa with Cheese Corn Style Filling",240,Low
"Satyam Puffed Rice Kurmura (A)",200,Low
"MTR 3 Min Poha",60,Low
"Ching's Manchurian Instant Noodles",60,Low
"Everest Pav Bhaji Masala",100,Low
"Hershey's Chocolate Flavour Syrup",623,Low
"Popular Essentials Dhania (Coriander Seeds)",200,Low
"24 Mantra Red Chilly Whole",100,Low
"Dabur Honey - World's No.1",250,Low
"24 Mantra Organic Puffed Rice",200,Low
"24 Mantra Organic Wheat Daliya ",500,Low
"24 Mantra Organic Ragi Flour",500,Low
"Popular Essentials Cinnamon Whole (Dalchini)",25,Low
"Sundrop Super Lite Advanced - Sunflower Oil",1000,Medium
"Pillsbury Atta/Godihittu - Chakki Fresh",2000,Medium
"Popular Essentials Green Moong Chilka/Chilka (Un-Polished)",500,Low
"Popular Essentials HMT Kolam Steam",1000,Medium
"Popular Essentials Black Urad Split",500,Low
"Keya Oregano",9,Low
"Popular Essentials Pink Rajma",500,Low
"Everest Chicken Masala",100,Low
"Popular Essentials HMT Kolam Steam",5000,Bulk
"Everest Shahi Paneer Masala",50,Low
"Godrej Yummiez Chicken Nuggets",500,Low
"Flying Bird Vanilla Essence",20,Low
"Everest Sabji Masala",50,Low
"Popular Essentials Californian Almond",500,Low
"Cornitos Cornitos Taco Shells - 4 Inches",80,Low
"Everest Rajma Masala",50,Low
"Popular Essentials White Til",100,Low
"Amul Dark Compound Chocolate Slab",500,Low
"Mothers Recipe Papad Chana Masala",200,Low
"Ching's Schezwan Masala Instant Noodles",240,Low
"Amul Milk Compound Chocolate Slab",500,Low
"Eastern Chicken Masala",100,Low
"Popular Essentials Methi Seeds",100,Low
"Saffola Yummy Masala Noodles ",46,Low
"Cadbury Hot Chocolate",200,Low
"Ching's Chicken Chilli Masala",20,Low
"Dabur Keora water - Authentic flavour for Biryani's and Desserts",250,Low
"Popular Essentials Black Cardamom/Elaichi ",50,Low
"Popular Essentials Idli Rice",1000,Medium
"Everest Chole Masala",50,Low
"Dabur Hommade Tamarind Paste",200,Low
"Popular Essentials Cooking Soda",200,Low
"RRO Primio Refined Groundnut Oil Pet Bottle",1000,Medium
"Everest Pani Puri Masala",50,Low
"Nissin Cup Noodles Tangy Tomato",70,Low
"Ching's Veg Manchurian Masala",20,Low
"Ceres Foods Fish Mustard Instant Liquid Masala",200,Low
"Everest Garam Masala",200,Low
"24 Mantra Organic Jowar Flour",500,Low
"Maggi Coconut Milkpowder",100,Low
"On1y Pepper Grinder",50,Low
"Popular Essentials Rice Flour",1000,Medium
"Sunfeast Yippee! Pasta Treat - Sour Cream Onion",65,Low
"24 Mantra Organic Brown Sona Masoori Rice",1000,Medium
"Happilo Premium Afghani Anjeer",200,Low
